
year,state,locationdesc,measure,value,ci_lower,ci_upper,sample_size
2011,OR,Oregon,obesity,26.7,25.2,28.3,1556
2011,PA,Pennsylvania,obesity,28.6,27.3,29.8,3147
2011,PR,Puerto Rico,obesity,26.3,25.0,27.7,1624
2011,RI,Rhode Island,obesity,25.4,23.9,26.9,1520
2011,SC,South Carolina,obesity,30.8,29.6,32.1,3975
2011,SD,South Dakota,obesity,28.1,26.2,30.0,2299
2011,TN,Tennessee,obesity,29.2,26.7,31.7,1722
2011,TX,Texas,obesity,30.4,29.0,31.8,4061
2011,US,"All States, DC and Territories (median) **",obesity,27.7,,,53
2011,UT,Utah,obesity,24.4,23.3,25.5,2955
2011,UW,All States and DC (median) **,obesity,27.8,,,51
2011,VA,Virginia,obesity,29.2,27.5,30.9,1781
2011,VT,Vermont,obesity,25.4,24.1,26.8,1686
2011,WA,Washington,obesity,26.5,25.2,27.7,3799
2011,WI,Wisconsin,obesity,27.7,25.8,29.7,1450
2011,WV,West Virginia,obesity,32.4,30.8,34.0,1647
2011,WY,Wyoming,obesity,25.0,23.4,26.5,1657
2012,AK,Alaska,obesity,25.7,23.9,27.5,1181
2012,AL,Alabama,obesity,33.0,31.5,34.4,2967
2012,AR,Arkansas,obesity,34.5,32.7,36.4,1615
2012,AZ,Arizona,obesity,26.0,24.3,27.8,1814
2012,CA,California,obesity,25.0,23.9,26.0,3278
2012,CO,Colorado,obesity,20.5,19.5,21.4,2424
2012,CT,Connecticut,obesity,25.6,24.3,26.9,2117
2012,DC,District of Columbia,obesity,21.9,19.8,24.0,848
2012,DE,Delaware,obesity,26.9,25.2,28.6,1357
2012,FL,Florida,obesity,25.2,23.6,26.7,1912
2012,GA,Georgia,obesity,29.1,27.4,30.8,1696
2012,GU,Guam,obesity,29.1,26.3,31.9,514
2012,HI,Hawaii,obesity,23.6,22.0,25.1,1606
2012,IA,Iowa,obesity,30.4,29.1,31.8,2097
2012,ID,Idaho,obesity,26.8,24.8,28.8,1541
2012,IL,Illinois,obesity,28.1,26.4,29.9,1562
2012,IN,Indiana,obesity,31.4,30.1,32.7,2598
2012,KS,Kansas,obesity,29.9,28.7,31.0,3342
2012,KY,Kentucky,obesity,31.3,29.9,32.6,3517
2012,LA,Louisiana,obesity,34.7,33.1,36.4,3057
2012,MA,Massachusetts,obesity,22.9,22.0,23.8,4993
2012,MD,Maryland,obesity,27.6,26.3,28.9,3486
2012,ME,Maine,obesity,28.4,27.2,29.5,2621
2012,MI,Michigan,obesity,31.1,29.8,32.3,3193
2012,MN,Minnesota,obesity,25.7,24.7,26.8,2966
2012,MO,Missouri,obesity,29.6,28.0,31.2,2018
2012,MS,Mississippi,obesity,34.6,33.0,36.2,2586
2012,MT,Montana,obesity,24.3,23.1,25.5,2154
2012,NC,North Carolina,obesity,29.6,28.5,30.7,3369
2012,ND,North Dakota,obesity,29.7,27.9,31.4,1366
2012,NE,Nebraska,obesity,28.6,27.7,29.6,5405
2012,NH,New Hampshire,obesity,27.3,25.8,28.8,1972
2012,NJ,New Jersey,obesity,24.6,23.6,25.6,3787
2012,NM,New Mexico,obesity,27.1,25.9,28.3,2226
2012,NV,Nevada,obesity,26.2,24.3,28.1,1118
2012,NY,New York,obesity,23.6,22.0,25.1,1362
2012,OH,Ohio,obesity,30.1,29.0,31.2,3849
2012,OK,Oklahoma,obesity,32.2,30.8,33.6,2474
2012,OR,Oregon,obesity,27.3,25.7,29.0,1349
2012,PA,Pennsylvania,obesity,29.1,28.1,30.1,5624
2012,PR,Puerto Rico,obesity,28.4,27.0,29.7,1676
2012,RI,Rhode Island,obesity,25.7,24.1,27.4,1365
2012,SC,South Carolina,obesity,31.6,30.4,32.8,3897
2012,SD,South Dakota,obesity,28.1,26.5,29.8,2203
2012,TN,Tennessee,obesity,31.1,29.6,32.7,2091
2012,TX,Texas,obesity,29.2,27.8,30.5,2535
2012,US,"All States, DC and Territories (median) **",obesity,28.1,,,53
2012,UT,Utah,obesity,24.3,23.3,25.3,2972
2012,UW,All States and DC (median) **,obesity,27.6,,,51
2012,VA,Virginia,obesity,27.4,26.0,28.7,1884
2012,VT,Vermont,obesity,23.7,22.3,25.1,1404
2012,WA,Washington,obesity,26.8,25.8,27.8,3926
2012,WI,Wisconsin,obesity,29.7,27.8,31.6,1555
2012,WV,West Virginia,obesity,33.8,32.2,35.4,1690
2012,WY,Wyoming,obesity,24.6,22.8,26.4,1497
2013,AK,Alaska,obesity,28.4,26.5,30.3,1282
2013,AL,Alabama,obesity,32.4,30.8,34.1,2138
2013,AR,Arkansas,obesity,34.6,32.7,36.6,1656
2013,AZ,Arizona,obesity,26.8,24.2,29.3,1067
2013,CA,California,obesity,24.1,23.0,25.2,2563
2013,CO,Colorado,obesity,21.3,20.3,22.2,2704
2013,CT,Connecticut,obesity,25.0,23.5,26.4,1891
2013,DC,District of Columbia,obesity,22.9,20.9,24.8,1103
2013,DE,Delaware,obesity,31.1,29.3,32.8,1540
2013,FL,Florida,obesity,26.4,25.3,27.4,9420
2013,GA,Georgia,obesity,30.3,28.9,31.7,2373
2013,GU,Guam,obesity,27.0,24.3,29.7,465
2013,HI,Hawaii,obesity,21.8,20.4,23.2,1617
2013,IA,Iowa,obesity,31.3,29.9,32.7,2434
2013,ID,Idaho,obesity,29.6,27.8,31.4,1552
2013,IL,Illinois,obesity,29.4,27.7,31.1,1619
2013,IN,Indiana,obesity,31.8,30.6,33.1,3157
2013,KS,Kansas,obesity,30.0,29.2,30.7,6656
2013,KY,Kentucky,obesity,33.2,31.8,34.6,3565
2013,LA,Louisiana,obesity,33.1,31.0,35.2,1692
2013,MA,Massachusetts,obesity,23.6,22.5,24.8,3476
2013,MD,Maryland,obesity,28.3,27.0,29.5,3613
2013,ME,Maine,obesity,28.9,27.5,30.2,2212
2013,MI,Michigan,obesity,31.5,30.4,32.6,3866
2013,MN,Minnesota,obesity,25.5,24.1,26.8,3598
2013,MO,Missouri,obesity,30.4,28.8,32.1,2128
2013,MS,Mississippi,obesity,35.1,33.4,36.7,2456
2013,MT,Montana,obesity,24.6,23.4,25.8,2475
2013,NC,North Carolina,obesity,29.4,28.0,30.7,2549
2013,ND,North Dakota,obesity,31.0,29.5,32.5,2342
2013,NE,Nebraska,obesity,29.6,28.4,30.7,5029
2013,NH,New Hampshire,obesity,26.7,25.3,28.2,1676
2013,NJ,New Jersey,obesity,26.3,25.1,27.5,3275
2013,NM,New Mexico,obesity,26.4,25.1,27.7,2405
2013,NV,Nevada,obesity,26.2,24.0,28.5,1239
2013,NY,New York,obesity,25.4,24.2,26.6,2135
2013,OH,Ohio,obesity,30.4,29.2,31.6,3635
2013,OK,Oklahoma,obesity,32.5,31.1,33.9,2544
2013,OR,Oregon,obesity,26.5,24.9,28.0,1487
2013,PA,Pennsylvania,obesity,30.0,28.9,31.2,3266
2013,PR,Puerto Rico,obesity,27.9,26.4,29.4,1590
2013,RI,Rhode Island,obesity,27.3,25.8,28.8,1711
2013,SC,South Carolina,obesity,31.7,30.5,33.0,3274
2013,SD,South Dakota,obesity,29.9,28.0,31.7,2040
2013,TN,Tennessee,obesity,33.7,31.8,35.5,1780
2013,TX,Texas,obesity,30.9,29.5,32.3,3112
2013,US,"All States, DC and Territories (median) **",obesity,28.9,,,53
2013,UT,Utah,obesity,24.1,23.2,25.1,2988
2013,UW,All States and DC (median) **,obesity,29.4,,,51
2013,VA,Virginia,obesity,27.2,25.9,28.5,2267
2013,VT,Vermont,obesity,24.7,23.3,26.1,1514
2013,WA,Washington,obesity,27.2,26.0,28.3,2900
2013,WI,Wisconsin,obesity,29.8,28.0,31.5,1964
2013,WV,West Virginia,obesity,35.1,33.6,36.6,1979
2013,WY,Wyoming,obesity,27.8,26.2,29.4,1658
2014,AK,Alaska,obesity,29.7,27.8,31.6,1239
2014,AL,Alabama,obesity,33.5,32.1,35.0,2814
2014,AR,Arkansas,obesity,35.9,33.8,38.0,1672
2014,AZ,Arizona,obesity,28.9,27.7,30.2,3777
2014,CA,California,obesity,24.7,23.5,25.9,1967
2014,CO,Colorado,obesity,21.3,20.4,22.2,2702
2014,CT,Connecticut,obesity,26.3,24.8,27.7,1934
2014,DC,District of Columbia,obesity,21.7,19.5,23.9,907
2014,DE,Delaware,obesity,30.7,28.6,32.7,1268
2014,FL,Florida,obesity,26.2,25.0,27.5,2303
2014,GA,Georgia,obesity,30.5,28.9,32.1,1833
2014,GU,Guam,obesity,28.0,25.5,30.4,660
2014,HI,Hawaii,obesity,22.1,20.7,23.5,1483
2014,IA,Iowa,obesity,30.9,29.6,32.3,2407
2014,ID,Idaho,obesity,28.9,27.1,30.8,1415
2014,IL,Illinois,obesity,29.3,27.6,31.1,1394
2014,IN,Indiana,obesity,32.7,31.5,33.9,3464
2014,KS,Kansas,obesity,31.3,30.3,32.2,4110
2014,KY,Kentucky,obesity,31.6,30.2,33.1,3553
2014,LA,Louisiana,obesity,34.9,33.4,36.4,2219
2014,MA,Massachusetts,obesity,23.3,22.3,24.4,3696
2014,MD,Maryland,obesity,29.6,28.1,31.1,3578
2014,ME,Maine,obesity,28.2,26.9,29.5,2441
2014,MI,Michigan,obesity,30.7,29.4,32.0,2533
2014,MN,Minnesota,obesity,27.6,26.8,28.5,4382
2014,MO,Missouri,obesity,30.2,28.6,31.9,2158
2014,MS,Mississippi,obesity,35.5,33.4,37.6,1398
2014,MT,Montana,obesity,26.4,24.9,27.9,1944
2014,NC,North Carolina,obesity,29.7,28.4,31.0,1979
2014,ND,North Dakota,obesity,32.2,30.5,33.9,2341
2014,NE,Nebraska,obesity,30.2,29.2,31.2,6633
2014,NH,New Hampshire,obesity,27.4,25.8,29.1,1626
2014,NJ,New Jersey,obesity,26.9,25.7,28.1,3322
2014,NM,New Mexico,obesity,28.4,26.9,30.0,2290
2014,NV,Nevada,obesity,27.7,25.3,30.1,923
2014,NY,New York,obesity,27.0,25.6,28.4,1676
2014,OH,Ohio,obesity,32.6,31.2,34.1,3490
2014,OK,Oklahoma,obesity,33.0,31.6,34.3,2643
2014,OR,Oregon,obesity,27.9,26.2,29.6,1357
2014,PA,Pennsylvania,obesity,30.2,28.9,31.4,3214
2014,PR,Puerto Rico,obesity,28.3,26.8,29.8,1619
2014,RI,Rhode Island,obesity,27.0,25.4,28.6,1595
2014,SC,South Carolina,obesity,32.1,30.9,33.3,3355
2014,SD,South Dakota,obesity,29.8,27.9,31.8,2155
2014,TN,Tennessee,obesity,31.2,29.3,33.1,1486
2014,TX,Texas,obesity,31.9,30.6,33.3,4403
2014,US,"All States, DC and Territories (median) **",obesity,29.5,,,53
2014,UT,Utah,obesity,25.7,24.9,26.6,3656
2014,UW,All States and DC (median) **,obesity,29.6,,,51
2014,VA,Virginia,obesity,28.5,27.2,29.7,2638
2014,VT,Vermont,obesity,24.8,23.5,26.1,1516
2014,WA,Washington,obesity,27.3,26.0,28.5,2602
2014,WI,Wisconsin,obesity,31.2,29.6,32.8,2136
2014,WV,West Virginia,obesity,35.7,34.2,37.2,2030
2014,WY,Wyoming,obesity,29.5,27.4,31.5,1647
2015,AK,Alaska,obesity,29.8,27.4,32.2,1063
2015,AL,Alabama,obesity,35.6,34.1,37.2,2639
2015,AR,Arkansas,obesity,34.5,32.1,36.8,1606
2015,AZ,Arizona,obesity,28.4,26.8,30.0,1907
2015,CA,California,obesity,24.2,23.2,25.2,2798
2015,CO,Colorado,obesity,20.2,19.1,21.3,2682
2015,CT,Connecticut,obesity,25.3,24.1,26.4,2840
2015,DC,District of Columbia,obesity,22.1,19.6,24.7,910
2015,DE,Delaware,obesity,29.7,27.6,31.8,1146
2015,FL,Florida,obesity,26.8,25.5,28.1,2323
2015,GA,Georgia,obesity,30.7,28.8,32.6,1345
2015,GU,Guam,obesity,31.6,28.1,35.0,459
2015,HI,Hawaii,obesity,22.7,21.3,24.1,1502
2015,IA,Iowa,obesity,32.1,30.5,33.8,1817
2015,ID,Idaho,obesity,28.6,26.8,30.3,1591
2015,IL,Illinois,obesity,30.8,29.1,32.4,1547
2015,IN,Indiana,obesity,31.3,29.5,33.0,1810
2015,KS,Kansas,obesity,34.2,33.4,35.0,7154
2015,KY,Kentucky,obesity,34.6,32.9,36.3,2890
2015,LA,Louisiana,obesity,36.2,34.3,38.1,1576
2015,MA,Massachusetts,obesity,24.3,23.0,25.5,2090
2015,MD,Maryland,obesity,28.9,27.2,30.6,3447
2015,ME,Maine,obesity,30.0,28.6,31.4,2577
2015,MI,Michigan,obesity,31.2,29.9,32.4,2599
2015,MN,Minnesota,obesity,26.1,25.3,27.0,4230
2015,MO,Missouri,obesity,32.4,30.8,34.0,2248
2015,MS,Mississippi,obesity,35.6,33.7,37.5,1972
2015,MT,Montana,obesity,23.6,22.0,25.2,1430
2015,NC,North Carolina,obesity,30.1,28.6,31.5,1808
2015,ND,North Dakota,obesity,31.0,29.2,32.7,1488
2015,NE,Nebraska,obesity,31.4,30.3,32.5,5385
2015,NH,New Hampshire,obesity,26.3,24.8,27.8,1728
2015,NJ,New Jersey,obesity,25.6,24.3,26.9,2792
2015,NM,New Mexico,obesity,28.8,27.0,30.6,1732
2015,NV,Nevada,obesity,26.7,24.0,29.4,700
2015,NY,New York,obesity,25.0,23.9,26.1,2940
2015,OH,Ohio,obesity,29.8,28.4,31.2,3444
2015,OK,Oklahoma,obesity,33.9,32.2,35.5,2155
2015,OR,Oregon,obesity,30.0,28.4,31.7,1412
2015,PA,Pennsylvania,obesity,30.0,28.4,31.6,1645
2015,PR,Puerto Rico,obesity,29.5,28.0,31.1,1484
2015,RI,Rhode Island,obesity,26.0,24.3,27.6,1505
2015,SC,South Carolina,obesity,31.7,30.5,33.0,3493
2015,SD,South Dakota,obesity,30.4,28.5,32.3,2067
2015,TN,Tennessee,obesity,33.8,31.8,35.7,1810
2015,TX,Texas,obesity,32.4,30.9,33.9,4275
2015,US,"All States, DC and Territories (median) **",obesity,29.8,,,53
2015,UT,Utah,obesity,24.5,23.4,25.5,2703
2015,UW,All States and DC (median) **,obesity,29.8,,,51
2015,VA,Virginia,obesity,29.2,27.9,30.6,2403
2015,VT,Vermont,obesity,25.1,23.7,26.6,1554
2015,WA,Washington,obesity,26.4,25.5,27.4,4028
2015,WI,Wisconsin,obesity,30.7,29.0,32.4,1831
2015,WV,West Virginia,obesity,35.6,34.1,37.1,1958
2015,WY,Wyoming,obesity,29.0,27.0,31.0,1386
2016,AK,Alaska,obesity,31.4,28.5,34.3,872
2016,AL,Alabama,obesity,35.7,34.1,37.3,2352
2016,AR,Arkansas,obesity,35.7,33.2,38.1,1678
2016,AZ,Arizona,obesity,29.0,27.5,30.5,2731
2016,CA,California,obesity,25.0,23.9,26.1,2548
2016,CO,Colorado,obesity,22.3,21.3,23.2,3053
2016,CT,Connecticut,obesity,26.0,24.8,27.2,2578
2016,DC,District of Columbia,obesity,22.6,20.9,24.3,947
2016,DE,Delaware,obesity,30.7,28.6,32.8,1180
2016,FL,Florida,obesity,27.4,26.4,28.5,10034
2016,GA,Georgia,obesity,31.4,29.7,33.2,1553
2016,GU,Guam,obesity,28.3,25.0,31.6,423
2016,HI,Hawaii,obesity,23.8,22.5,25.2,1767
2016,IA,Iowa,obesity,32.0,30.5,33.4,2165
2016,ID,Idaho,obesity,27.4,25.5,29.2,1397
2016,IL,Illinois,obesity,31.6,29.9,33.3,1401
2016,IN,Indiana,obesity,32.5,31.2,33.8,3414
2016,KS,Kansas,obesity,31.2,30.1,32.3,3499
2016,KY,Kentucky,obesity,34.2,32.7,35.6,3360
2016,LA,Louisiana,obesity,35.5,33.4,37.7,1790
2016,MA,Massachusetts,obesity,23.6,22.2,24.9,1865
2016,MD,Maryland,obesity,29.9,28.8,31.0,5342
2016,ME,Maine,obesity,29.9,28.5,31.3,2861
2016,MI,Michigan,obesity,32.5,31.4,33.6,3660
2016,MN,Minnesota,obesity,27.8,26.9,28.6,4461
2016,MO,Missouri,obesity,31.7,29.9,33.4,2160
2016,MS,Mississippi,obesity,37.3,35.4,39.1,1843
2016,MT,Montana,obesity,25.5,23.8,27.1,1551
2016,NC,North Carolina,obesity,31.8,30.4,33.3,1922
2016,ND,North Dakota,obesity,31.9,30.3,33.5,1757
2016,NE,Nebraska,obesity,32.0,30.8,33.2,4752
2016,NH,New Hampshire,obesity,26.6,25.0,28.2,1653
2016,NJ,New Jersey,obesity,27.4,25.7,29.0,1929
2016,NM,New Mexico,obesity,28.3,26.6,30.1,1586
2016,NV,Nevada,obesity,25.8,23.8,27.8,1056
2016,NY,New York,obesity,25.5,24.5,26.5,9469
2016,OH,Ohio,obesity,31.5,30.2,32.8,3816
2016,OK,Oklahoma,obesity,32.8,31.2,34.3,2079
2016,OR,Oregon,obesity,28.7,27.2,30.2,1419
2016,PA,Pennsylvania,obesity,30.3,28.8,31.8,1953
2016,PR,Puerto Rico,obesity,30.7,29.0,32.4,1660
2016,RI,Rhode Island,obesity,26.6,24.8,28.4,1370
2016,SC,South Carolina,obesity,32.3,31.0,33.5,3563
2016,SD,South Dakota,obesity,29.6,27.5,31.7,1669
2016,TN,Tennessee,obesity,34.8,33.0,36.7,1906
2016,TX,Texas,obesity,33.6,31.9,35.4,3507
2016,US,"All States, DC and Territories (median) **",obesity,30.1,,,54
2016,UT,Utah,obesity,25.4,24.2,26.5,2722
2016,UW,All States and DC (median) **,obesity,29.9,,,51
2016,VA,Virginia,obesity,29.0,27.7,30.2,2498
2016,VI,Virgin Islands,obesity,32.5,28.5,36.5,387
2016,VT,Vermont,obesity,27.1,25.5,28.6,1644
2016,WA,Washington,obesity,28.6,27.6,29.6,3716
2016,WI,Wisconsin,obesity,30.7,29.0,32.5,1573
2016,WV,West Virginia,obesity,37.7,36.3,39.0,2508
2016,WY,Wyoming,obesity,27.7,25.7,29.7,1166
2017,AK,Alaska,obesity,34.2,31.3,37.1,1027
2017,AL,Alabama,obesity,36.3,34.7,38.0,2260
2017,AR,Arkansas,obesity,35.0,32.6,37.5,1627
2017,AZ,Arizona,obesity,29.5,28.5,30.4,4031
2017,CA,California,obesity,25.1,23.8,26.4,2118
2017,CO,Colorado,obesity,22.6,21.6,23.7,2070
2017,CT,Connecticut,obesity,26.9,25.6,28.1,2555
2017,DC,District of Columbia,obesity,22.9,21.1,24.7,985
2017,DE,Delaware,obesity,31.8,29.7,33.9,1224
2017,FL,Florida,obesity,28.4,26.9,29.9,6150
2017,GA,Georgia,obesity,31.6,30.0,33.2,1724
2017,GU,Guam,obesity,34.3,31.1,37.6,487
2017,HI,Hawaii,obesity,23.8,22.4,25.2,1739
2017,IA,Iowa,obesity,36.4,35.1,37.7,2603
2017,ID,Idaho,obesity,29.3,27.5,31.2,1360
2017,IL,Illinois,obesity,31.1,29.5,32.7,1633
2017,IN,Indiana,obesity,33.6,32.5,34.7,4434
2017,KS,Kansas,obesity,32.4,31.5,33.2,6551
2017,KY,Kentucky,obesity,34.3,32.6,36.0,2923
2017,LA,Louisiana,obesity,36.2,34.4,38.1,1622
2017,MA,Massachusetts,obesity,25.8,24.1,27.6,1591
2017,MD,Maryland,obesity,31.3,30.0,32.6,3964
2017,ME,Maine,obesity,29.1,27.7,30.6,2745
2017,MI,Michigan,obesity,32.3,31.1,33.4,3275
2017,MN,Minnesota,obesity,28.4,27.5,29.3,4622
2017,MO,Missouri,obesity,32.5,30.9,34.0,2317
2017,MS,Mississippi,obesity,37.3,35.2,39.3,1718
2017,MT,Montana,obesity,25.3,23.7,26.8,1575
2017,NC,North Carolina,obesity,32.1,30.3,33.9,1442
2017,ND,North Dakota,obesity,33.2,31.6,34.7,2241
2017,NE,Nebraska,obesity,32.8,31.6,34.0,4963
2017,NH,New Hampshire,obesity,28.1,26.3,29.9,1492
2017,NJ,New Jersey,obesity,27.2,25.8,28.7,3002
2017,NM,New Mexico,obesity,28.4,26.8,30.0,1758
2017,NV,Nevada,obesity,26.7,24.4,28.9,901
2017,NY,New York,obesity,25.7,24.6,26.9,2994
2017,OH,Ohio,obesity,33.8,32.5,35.1,4001
2017,OK,Oklahoma,obesity,36.5,34.9,38.1,2137
2017,OR,Oregon,obesity,29.4,27.9,30.9,1390
2017,PA,Pennsylvania,obesity,31.6,30.0,33.2,1950
2017,PR,Puerto Rico,obesity,32.9,31.0,34.9,1299
2017,RI,Rhode Island,obesity,30.0,28.1,31.8,1528
2017,SC,South Carolina,obesity,34.1,32.8,35.4,3577
2017,SD,South Dakota,obesity,31.9,29.8,34.0,2258
2017,TN,Tennessee,obesity,32.8,31.1,34.6,1810
2017,TX,Texas,obesity,33.0,31.2,34.8,3761
2017,US,"All States, DC and Territories (median) **",obesity,31.6,,,53
2017,UT,Utah,obesity,25.2,24.2,26.4,2517
2017,UW,All States and DC (median) **,obesity,31.3,,,51
2017,VA,Virginia,obesity,30.0,28.7,31.4,2744
2017,VT,Vermont,obesity,27.6,26.0,29.2,1615
2017,WA,Washington,obesity,27.7,26.6,28.7,3422
2017,WI,Wisconsin,obesity,32.0,30.2,33.8,1706
2017,WV,West Virginia,obesity,38.1,36.4,39.7,1980
2017,WY,Wyoming,obesity,28.8,27.1,30.5,1223
2018,AK,Alaska,obesity,29.5,26.9,32.1,778
2018,AL,Alabama,obesity,36.2,34.6,37.9,2238
2018,AR,Arkansas,obesity,37.1,35.1,39.1,1733
2018,AZ,Arizona,obesity,29.5,27.8,31.2,2211
2018,CA,California,obesity,25.8,24.8,26.9,2914
2018,CO,Colorado,obesity,23.0,21.9,24.0,1887
2018,CT,Connecticut,obesity,27.4,26.2,28.6,2663
2018,DC,District of Columbia,obesity,24.7,22.9,26.5,1022
2018,DE,Delaware,obesity,33.5,31.7,35.3,1624
2018,FL,Florida,obesity,30.7,29.1,32.2,4336
2018,GA,Georgia,obesity,32.5,31.2,33.7,2610
2018,GU,Guam,obesity,29.8,26.5,33.2,453
2018,HI,Hawaii,obesity,24.9,23.6,26.2,1851
2018,IA,Iowa,obesity,35.3,34.1,36.5,2987
2018,ID,Idaho,obesity,28.4,26.3,30.4,1000
2018,IL,Illinois,obesity,31.8,30.2,33.3,1550
2018,IN,Indiana,obesity,34.1,32.6,35.5,2362
2018,KS,Kansas,obesity,34.4,33.2,35.6,3452
2018,KY,Kentucky,obesity,36.6,34.9,38.4,3077
2018,LA,Louisiana,obesity,36.8,34.9,38.6,1758
2018,MA,Massachusetts,obesity,25.7,24.2,27.1,1546
2018,MD,Maryland,obesity,30.9,29.8,32.1,5122
2018,ME,Maine,obesity,30.4,28.9,31.8,3063
2018,MI,Michigan,obesity,33.0,31.8,34.2,3128
2018,MN,Minnesota,obesity,30.1,29.2,30.9,4788
2018,MO,Missouri,obesity,35.0,33.2,36.8,1960
2018,MS,Mississippi,obesity,39.5,37.8,41.2,2225
2018,MT,Montana,obesity,26.8,25.2,28.5,1485
2018,NC,North Carolina,obesity,33.0,31.2,34.8,1407
2018,ND,North Dakota,obesity,35.1,33.2,37.0,1829
2018,NE,Nebraska,obesity,34.1,32.9,35.3,4918
2018,NH,New Hampshire,obesity,29.6,27.8,31.4,1532
2018,NJ,New Jersey,obesity,25.6,23.2,28.1,786
2018,NM,New Mexico,obesity,32.3,30.6,34.0,1917
2018,NV,Nevada,obesity,29.5,27.0,31.9,864
2018,NY,New York,obesity,27.6,26.7,28.5,9963
2018,OH,Ohio,obesity,34.0,32.7,35.3,4272
2018,OK,Oklahoma,obesity,34.8,33.1,36.6,1705
2018,OR,Oregon,obesity,29.9,28.4,31.4,1664
2018,PA,Pennsylvania,obesity,30.9,29.4,32.5,1833
2018,PR,Puerto Rico,obesity,32.9,31.2,34.6,1511
2018,RI,Rhode Island,obesity,27.7,26.0,29.5,1447
2018,SC,South Carolina,obesity,34.3,33.0,35.6,3542
2018,SD,South Dakota,obesity,30.1,28.0,32.1,2234
2018,TN,Tennessee,obesity,34.4,32.5,36.3,1680
2018,TX,Texas,obesity,34.8,32.8,36.8,3465
2018,US,"All States, DC and Territories (median) **",obesity,30.9,,,53
2018,UT,Utah,obesity,27.8,26.6,28.8,2866
2018,UW,All States and DC (median) **,obesity,30.9,,,51
2018,VA,Virginia,obesity,30.4,29.1,31.6,3051
2018,VT,Vermont,obesity,27.5,25.9,29.2,1642
2018,WA,Washington,obesity,28.7,27.6,29.7,3486
2018,WI,Wisconsin,obesity,32.0,30.2,33.8,1552
2018,WV,West Virginia,obesity,39.5,37.8,41.3,1797
2018,WY,Wyoming,obesity,29.0,27.3,30.8,1212
2019,AK,Alaska,obesity,30.5,27.7,33.3,839
2019,AL,Alabama,obesity,36.1,34.6,37.7,2338
2019,AR,Arkansas,obesity,37.4,35.4,39.4,1728
2019,AZ,Arizona,obesity,31.4,29.7,33.1,2451
2019,CA,California,obesity,26.2,25.1,27.2,2844
2019,CO,Colorado,obesity,23.8,22.7,24.9,2077
2019,CT,Connecticut,obesity,29.1,27.7,30.5,2312
2019,DC,District of Columbia,obesity,23.8,21.7,25.9,646
2019,DE,Delaware,obesity,34.4,32.1,36.6,1200
2019,FL,Florida,obesity,27.0,25.6,28.4,4650
2019,GA,Georgia,obesity,33.1,31.2,35.0,2175
2019,GU,Guam,obesity,33.6,30.4,36.9,695
2019,HI,Hawaii,obesity,25.0,23.7,26.3,1823
2019,IA,Iowa,obesity,33.9,32.8,35.1,3146
2019,ID,Idaho,obesity,29.4,27.5,31.4,1514
2019,IL,Illinois,obesity,31.6,30.1,33.1,1634
2019,IN,Indiana,obesity,35.3,34.0,36.6,2786
